"2023-10-26 00:16:45 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Starting Lab1Application using Java 21.0.1 with PID 12688 (C:\Labs\Technologies_of_programming_in_the_Internet\Lab1\target\classes started by kiril in C:\Labs\Technologies_of_programming_in_the_Internet\Lab1)
""2023-10-26 13:05:40 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
""2023-10-26 13:05:40 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-10-26 13:05:40 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 489 ms
""2023-10-26 13:05:40 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
""2023-10-26 13:05:40 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-10-26 13:05:40 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-10-26 13:05:40 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-10-26 13:05:40 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Started Lab1Application in 0.764 seconds (process running for 8.297)
""2023-10-26 13:05:40 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2023-10-26 13:05:42 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
""2023-10-26 13:05:42 [Thread-7] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
""2023-10-26 13:05:42 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Starting Lab1Application using Java 21.0.1 with PID 21052 (C:\Labs\Technologies_of_programming_in_the_Internet\Lab1\target\classes started by kiril in C:\Labs\Technologies_of_programming_in_the_Internet\Lab1)
""2023-10-26 13:05:42 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - No active profile set, falling back to 1 default profile: "default"
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-10-26 13:05:42 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-10-26 13:05:42 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
""2023-10-26 13:05:42 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 452 ms
""2023-10-26 13:05:42 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
